fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,DIST_LEY,LEY_MOD_D,GACETA_D,GACE_MOD_D,Shape_Leng,Shape_Area,DIST_CODE
60,"09",VERAGUAS,"08",SAN FRANCISCO,LEY Nº 1 DEL 22 DE AGOSTO DE 1916,"LEY Nº 58 DEL 29 DE JULIO DE 1998, LEY N° 18 DEL 24 DE ENERO DE 2003",GA 02404,"GA 23602, GA 24731",130704.093104952,434625650.296659,"0908"
61,"09",VERAGUAS,"09",SANTA FE,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 37 DEL 24 DE JULIO DE 2008",GA 23602,"GA 23602, GA 24731",254487.522895644,1922655853.97665,"0909"
62,"09",VERAGUAS,"10",SANTIAGO,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 2 DEL 21 DE OCTUBRE DE 1981, LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 68 DEL 30 DE OCTUBRE  DE 2017",GA 02404,"GA 22526, GA 23602, GA 28397-C",333413.84931483,975271940.232164,"0910"
63,"09",VERAGUAS,"11",SONÁ,LEY N° 1 DEL 22 DE AGOSTO DE 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 02404,GA 23602,401155.86697171,1522817857.60986,"0911"
64,"09",VERAGUAS,"12",MARIATO,LEY Nº 27 DEL 25 DE JUNIO DE 2001,N/A,GA 24333,N/A,289566.188821034,1388092892.50446,"0912"
65,"10",COMARCA KUNA YALA,"01",COMARCA KUNA YALA,LEY N° 1 DEL 22 DE AGOSTO DE 1916,"LEY N° 2 DEL 16 DE SEPTIEMBRE DE 1938, LEY Nº 1 DEL 27 DE OCTUBRE DE 1982, LEY Nº 99 DEL 23 DE DICIEMBRE DE 1998",GA 02404,"GA 7873, GA 19960, GA 23701",1226873.82810888,2303153163.68437,"1001"
66,"11",COMARCA EMBERÁ-WOUNAÁN,"01",CÉMACO,LEY N° 22 DEL 8 DE NOVIEMBRE DE 1983,N/A,GA 19976,N/A,386186.189409929,3050382157.33833,"1101"
67,"11",COMARCA EMBERÁ-WOUNAÁN,"02",SAMBÚ,LEY N° 22 DEL 8 DE NOVIEMBRE DE 1983,N/A,GA 19976,N/A,236078.720523339,1311648877.27551,"1102"
68,"12",COMARCA NGÄBE-BUGLÉ,"01",BESIKO,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 31 DEL 10 DE MAYO DE 2012,GA 23664,GA 27032-A,230575.92481751,755966317.383464,"1201"
69,"12",COMARCA NGÄBE-BUGLÉ,"02",MIRONÓ,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,N/A,GA 23664,N/A,142354.548808142,340364903.163993,"1202"
70,"12",COMARCA NGÄBE-BUGLÉ,"03",MÜNA,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,"LEY N° 8  DEL 15 DE FEBRERO DE 2006, LEY N° 31 DEL 10 DE MAYO DE 2012",GA 23664,"GA 25495, GA 27032-A",338168.056844575,800050028.954265,"1203"
71,"12",COMARCA NGÄBE-BUGLÉ,"04",NOLE DUIMA,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 8  DEL 15 DE FEBRERO DE 2006,GA 23664,GA 25495,125538.643090068,185161393.443382,"1204"
72,"12",COMARCA NGÄBE-BUGLÉ,"05",ÑÜRÜM,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 31 DEL 10 DE MAYO DE 2012,GA 23664,GA 27032-A,494231.332374782,582296156.319624,"1205"
73,"12",COMARCA NGÄBE-BUGLÉ,"06",KANKINTÚ,LEY N° 69 DEL 28 DE OCTUBRE DE 1998,LEY N° 33  DEL 10 DE MAYO DE 2012,GA 23664,GA 27032-B,212940.047436589,1045095973.19906,"1206"
