fid,PROV_ID,PROV_NOMB,DIST_ID,DIST_NOMB,CORR_ID,CORR_NOMB,CORR_LEY,LEY_MOD_C,GACETA_C,GACE_MOD_C,Shape_Leng,Shape_Area,REGI_ID,CORR_CODE,DIST_CODE
19,"02",COCLÉ,"01",AGUADULCE,"02",EL CRISTO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,50422.9603549484,59085387.5969634,"0201","020102","0201"
20,"02",COCLÉ,"01",AGUADULCE,"03",EL ROBLE,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,102986.039517305,128213323.25031,"0201","020103","0201"
21,"02",COCLÉ,"01",AGUADULCE,"04",POCRÍ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,13319.386324576,5970907.97863328,"0201","020104","0201"
22,"02",COCLÉ,"01",AGUADULCE,"05",BARRIOS UNIDOS,LEY N° 58 DEL 29 DE JULIO DE 1998,N/A,GA 23602,N/A,61297.9571974596,64902568.222002,"0201","020105","0201"
23,"02",COCLÉ,"01",AGUADULCE,"06",PUEBLOS UNIDOS,LEY N° 58 DEL 17 DE SEPTIEMBRE DE 2013,N/A,GA 27377,N/A,76979.3816123673,91496039.7171746,"0201","020106","0201"
24,"02",COCLÉ,"01",AGUADULCE,"07",VIRGEN DEL CARMEN,LEY N° 59 DEL 17 DE SEPTIEMBRE DE 2013,N/A,GA 27377,N/A,22369.6397373559,16449010.0839965,"0201","020107","0201"
25,"02",COCLÉ,"01",AGUADULCE,"08",EL HATO DE SAN JUAN DE DIOS,LEY N° 61 DEL 17 DE SEPTIEMBRE DE 2013,N/A,GA 27377,N/A,44693.1020706943,53853587.8365943,"0201","020108","0201"
26,"02",COCLÉ,"02",ANTÓN,"01",ANTÓN,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,101406.95771778,109910001.569161,"0202","020201","0202"
27,"02",COCLÉ,"02",ANTÓN,"02",CABUYA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,56032.1943318726,62326822.5548063,"0203","020202","0202"
28,"02",COCLÉ,"02",ANTÓN,"03",EL CHIRÚ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,81088.8784494085,109953876.512935,"0203","020203","0202"
29,"02",COCLÉ,"02",ANTÓN,"04",EL RETIRO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,74421.8218165869,69556701.6502026,"0203","020204","0202"
30,"02",COCLÉ,"02",ANTÓN,"05",EL VALLE,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,30697.5289704347,35018582.9523421,"0202","020205","0202"
31,"02",COCLÉ,"02",ANTÓN,"06",JUAN DÍAZ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,92038.4567401655,81650532.5513317,"0202","020206","0202"
32,"02",COCLÉ,"02",ANTÓN,"07",RÍO HATO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,89693.2644772528,134615841.749466,"0203","020207","0202"
33,"02",COCLÉ,"02",ANTÓN,"08",SAN JUAN DE DIOS,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,53672.9471924884,55520714.2808438,"0202","020208","0202"
34,"02",COCLÉ,"02",ANTÓN,"09",SANTA RITA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,51381.1816235395,43453047.7280274,"0202","020209","0202"
35,"02",COCLÉ,"02",ANTÓN,"10",CABALLERO,LEY N° 58 DEL 29 DE JULIO DE 1998,N/A,GA 23602,N/A,50563.2837048213,41749314.5618815,"0202","020210","0202"
36,"02",COCLÉ,"03",LA PINTADA,"01",LA PINTADA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 56 DEL 5 DE DICIEMBRE DE 2002, LEY N° 45 DEL 25 DE ABRIL DE 2011",GA 22526,"GA 23602, GA 24700, GA 26774",51243.3734565999,85602879.0739727,"0204","020301","0203"
37,"02",COCLÉ,"03",LA PINTADA,"02",EL HARINO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 56 DEL 5 DE DICIEMBRE DE 2002, LEY N° 45 DEL 25 DE ABRIL DE 2011",GA 22526,"GA 23602, GA 24700, GA 26774",102637.686525764,253501833.041449,"0205","020302","0203"
38,"02",COCLÉ,"03",LA PINTADA,"03",EL POTRERO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 56 DEL 5 DE DICIEMBRE DE 2002, LEY N° 45 DEL 25 DE ABRIL DE 2011",GA 22526,"GA 23602, GA 24700, GA 26774",43222.6010155429,74905228.3734485,"0205","020303","0203"
39,"02",COCLÉ,"03",LA PINTADA,"04",LLANO GRANDE,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 56 DEL 5 DE DICIEMBRE DE 2002, LEY N° 45 DEL 25 DE ABRIL DE 2011",GA 22526,"GA 23602, GA 24700, GA 26774",45573.4320858921,88100339.0628862,"0204","020304","0203"
40,"02",COCLÉ,"03",LA PINTADA,"05",PIEDRAS GORDAS,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 56 DEL 5 DE DICIEMBRE DE 2002, LEY N° 45 DEL 25 DE ABRIL DE 2011",GA 22526,"GA 23602, GA 24700, GA 26774",77905.4966150762,135065934.681751,"0204","020305","0203"
41,"02",COCLÉ,"03",LA PINTADA,"06",LAS LOMAS,LEY N° 56 DEL 5 DE DICIEMBRE DE 2002,LEY N° 45 DEL 25 DE ABRIL DE 2011,GA 24700,GA 26774,52854.9407826161,86398563.2772917,"0205","020306","0203"
42,"02",COCLÉ,"03",LA PINTADA,"07",LLANO NORTE,LEY N° 45 DEL 25 DE ABRIL DE 2011,N/A,GA 26774,N/A,100100.7594327,307770862.761939,"0204","020307","0203"
43,"02",COCLÉ,"04",NATÁ,"03",EL CAÑO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,57863.5330566243,87918051.7120417,"0206","020403","0204"
44,"02",COCLÉ,"04",NATÁ,"04",GUZMÁN,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,48188.170881985,73186635.6061299,"0206","020404","0204"
45,"02",COCLÉ,"04",NATÁ,"05",LAS HUACAS,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,66259.5536902738,89013351.3480966,"0206","020405","0204"
46,"02",COCLÉ,"04",NATÁ,"06",TOZA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,62575.6944705196,86021147.1205318,"0206","020406","0204"
47,"02",COCLÉ,"04",NATÁ,"07",VILLARREAL,LEY N° 60 DEL 17 DE SEPTIEMBRE DE 2013,N/A,GA 27377,N/A,71892.4400288254,62785376.0790605,"0206","020407","0204"
48,"02",COCLÉ,"05",OLÁ,"01",OLÁ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,70210.0830757149,83284851.6496883,"0206","020501","0205"
49,"02",COCLÉ,"05",OLÁ,"02",EL COPÉ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,42113.7807370685,74579583.0622483,"0206","020502","0205"
50,"02",COCLÉ,"05",OLÁ,"03",EL PALMAR,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,66229.6435929923,104592139.181038,"0205","020503","0205"
51,"02",COCLÉ,"05",OLÁ,"04",EL PICACHO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,32977.1937112944,30545535.3874503,"0206","020504","0205"
52,"02",COCLÉ,"05",OLÁ,"05",LA PAVA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,47141.0467545974,84525565.8581089,"0206","020505","0205"
53,"02",COCLÉ,"06",PENONOMÉ,"01",PENONOMÉ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,50728.8714488108,53392157.371794,"0207","020601","0206"
54,"02",COCLÉ,"06",PENONOMÉ,"02",CAÑAVERAL,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,49362.2728228757,63482285.9692426,"0207","020602","0206"
55,"02",COCLÉ,"06",PENONOMÉ,"03",COCLÉ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,75175.7720018583,115461929.461934,"0207","020603","0206"
56,"02",COCLÉ,"06",PENONOMÉ,"04",CHIGUIRÍ ARRIBA,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 296 DEL 26 DE ABRIL DE 2022",GA 22526,"GA 23602, GA 29524-B",56843.5451982449,104031043.86811,"0208","020604","0206"
57,"02",COCLÉ,"06",PENONOMÉ,"05",EL COCO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,87544.1091401588,148687735.325683,"0207","020605","0206"
58,"02",COCLÉ,"06",PENONOMÉ,"13",GENERAL VICTORIANO LORENZO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 296 DEL 25 DE ABRIL DE 2022",GA 22526,"GA 23602, GA 29524-B",64454.627407139,79199576.389158,"0208","020613","0206"
59,"02",COCLÉ,"06",PENONOMÉ,"07",RÍO GRANDE,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,LEY N° 58 DEL 29 DE JULIO DE 1998,GA 22526,GA 23602,59013.9687300844,94217780.0154867,"0207","020607","0206"
60,"02",COCLÉ,"06",PENONOMÉ,"08",RÍO INDIO,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 296 DEL 26 DE ABRIL DE 2022",GA 22526,"GA 23602, GA 29524-B",111783.068125362,214131854.985205,"0209","020608","0206"
61,"02",COCLÉ,"06",PENONOMÉ,"09",TOABRÉ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 296 DEL 26 DE ABRIL DE 2022",GA 22526,"GA 23602, GA 29524-B",118418.908148725,193775445.57506,"0209","020609","0206"
62,"02",COCLÉ,"06",PENONOMÉ,"10",TULÚ,LEY N° 2 DEL 21 DE OCTUBRE DE 1981 (DEROGADA) CÓDIGO ADMINISTRATIVO 1916,"LEY N° 58 DEL 29 DE JULIO DE 1998, LEY N° 296 DEL 26 DE ABRIL DE 2022",GA 22526,"GA 23602, GA29524-B",71199.4841452163,122010049.252919,"0209","020610","0206"
63,"03",COLÓN,"01",COLÓN,"01",BARRIO NORTE,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,5821.47227853812,1312650.01681957,"0301","030101","0301"
64,"03",COLÓN,"01",COLÓN,"02",BARRIO SUR,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,5665.76272838959,1660013.97806265,"0301","030102","0301"
65,"03",COLÓN,"01",COLÓN,"03",BUENA VISTA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,69059.5001027422,112984942.722524,"0302","030103","0301"
66,"03",COLÓN,"01",COLÓN,"04",CATIVÁ,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,LEY N° 20 DEL 30 DE SEPTIEMBRE DE 2014,GA 19981,GA 27634-A,57484.0802478343,22106866.3143725,"0303","030104","0301"
67,"03",COLÓN,"01",COLÓN,"05",CIRICITO,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,315136.023777958,66388983.8383329,"0306","030105","0301"
68,"03",COLÓN,"01",COLÓN,"08",LIMÓN,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,168295.374472075,76413538.8496511,"0304","030108","0301"
69,"03",COLÓN,"01",COLÓN,"09",NUEVA PROVIDENCIA,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,83715.5940716106,17637510.064481,"0304","030109","0301"
70,"03",COLÓN,"01",COLÓN,"10",PUERTO PILÓN,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,75379.6425906923,99322688.9471927,"0304","030110","0301"
71,"03",COLÓN,"01",COLÓN,"11",SABANITAS,LEY N° 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,52534.5916274436,11740747.3379764,"0304","030111","0301"
72,"03",COLÓN,"01",COLÓN,"12",SALAMANCA,LEY Nº 1 DEL 27 DE OCTUBRE DE 1982,N/A,GA 19981,N/A,124647.198267833,195378319.969338,"0302","030112","0301"
